issue_id,issue_name,when,action,what,user,milestone_id,milestone,description,milestone_user,ctime,dtime,closetime,status
23,Log in implementation,2017-02-27T02:08:47Z,assigned,,user2,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
23,Log in implementation,2017-02-27T02:08:47Z,assigned,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
23,Log in implementation,2017-02-27T02:08:47Z,assigned,,user3,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
23,Log in implementation,2017-02-27T02:08:57Z,milestoned,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
23,Log in implementation,2017-02-28T03:43:11Z,closed,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
18,Add Database-Finish Implementation(Engagement),2017-02-23T09:49:56Z,renamed,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
18,Add Database-Finish Implementation(Engagement),2017-02-23T09:49:59Z,assigned,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
18,Add Database-Finish Implementation(Engagement),2017-02-27T13:41:47Z,milestoned,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
18,Add Database-Finish Implementation(Engagement),2017-03-01T01:02:34Z,closed,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
21,Database + GUI ,2017-02-27T00:16:01Z,assigned,,user2,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
21,Database + GUI ,2017-02-27T00:16:13Z,labeled,enhancement,user2,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
21,Database + GUI ,2017-02-27T02:26:28Z,assigned,,user1,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
21,Database + GUI ,2017-02-27T04:41:05Z,mentioned,,user4,9,Design,Design structure of all 3 implementations,alokozai,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,,open
